746.27,106.95,437.0
1034.9,100.878,536.0
793.55,108.606,375.0
744.34,107.778,419.0
1296.57,100.924,510.0
711.83,109.02,448.0
715.01,116.886,375.0
1031.51,101.292,458.0
681.2,111.136,437.0
711.46,111.55,400.0
681.78,115.874,413.0
1090.67,100.648,520.0
995.64,101.798,536.0
726.92,107.87,444.0
882.09,103.316,418.0
932.91,105.018,399.0
999.51,104.558,383.0
683.36,118.772,402.0
850.54,104.42,418.0
633.16,118.036,574.0
750.24,108.054,402.0
726.25,108.606,402.0
1061.98,101.062,520.0
753.98,113.298,363.0
895.84,110.676,365.0
728.88,115.874,358.0
677.48,112.654,467.0
644.69,121.21,400.0
712.63,112.24,388.0
710.22,106.674,451.0
681.46,110.538,416.0
693.71,109.802,464.0
791.95,105.984,435.0
602.82,128.386,435.0
929.69,104.144,406.0
972.56,105.11,371.0
855.29,103.73,440.0
795.61,110.86,363.0
824.44,107.364,389.0
634.8,118.358,463.0
981.8,112.24,347.0
637.31,118.45,425.0
735.52,105.8,454.0
825.22,104.696,444.0
1033.43,102.212,438.0
724.24,117.852,359.0
1076.59,101.43,438.0
684.56,110.4,457.0
1276.84,109.342,347.0
1051.6,101.476,446.0
833.82,102.626,454.0
995.19,109.526,347.0
1004.25,104.144,383.0
846.46,104.374,440.0
