540.28,92.782,311.0
356.86,101.752,536.0
385.23,91.31,380.0
382.09,97.566,395.0
390.77,106.444,372.0
450.38,101.292,311.0
523.19,93.518,326.0
457.72,96.968,311.0
390.48,108.468,362.0
454.53,94.668,326.0
497.65,94.438,311.0
397.02,110.906,311.0
441.35,89.102,367.0
475.36,83.628,463.0
479.07,94.714,311.0
417.32,104.282,326.0
408.82,102.35,332.0
384.03,95.864,395.0
409.24,94.3,327.0
382.94,103.776,380.0
470.21,96.508,311.0
417.78,105.662,321.0
396.47,110.308,339.0
401.71,108.1,329.0
375.6,98.118,391.0
436.13,91.632,342.0
774.2,85.468,339.0
555.39,82.846,348.0
519.52,89.516,344.0
550.9,82.938,468.0
509.51,87.998,393.0
377.54,102.58,382.0
494.82,89.884,327.0
361.84,100.142,420.0
