1080.77,106.582,437.0
981.07,113.206,381.0
1113.09,104.834,436.0
1166.0,106.766,397.0
954.5,109.48,467.0
849.12,112.562,416.0
900.06,109.986,400.0
1263.36,110.492,363.0
822.31,118.542,398.0
1109.99,111.734,363.0
1025.47,111.136,379.0
913.31,111.228,396.0
872.47,113.068,398.0
872.91,110.906,434.0
896.96,111.596,416.0
876.05,122.544,363.0
1041.8,107.226,470.0
829.6,121.21,390.0
947.21,115.322,363.0
755.97,117.53,410.0
919.13,109.066,484.0
1084.75,107.686,375.0
960.23,108.974,437.0
1236.97,102.856,413.0
985.49,110.4,396.0
767.97,116.518,463.0
1028.37,107.548,381.0
1221.53,105.386,413.0
943.13,113.804,381.0
813.18,112.7,463.0
921.46,118.358,379.0
